,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,,,,
1,,,,
2,,,,
3,,,,
4,,Annual Returns on Investments in,,
5,Year,Stocks,T.Bills,T.Bonds
6,1928,0.4381,0.0308,0.0084
7,1929,-0.083,0.0316,0.042
8,1930,-0.2512,0.0455,0.0454
9,1931,-0.4384,0.0231,-0.0256
10,1932,-0.0864,0.0107,0.0879
11,1933,0.4998,0.0096,0.0186
12,1934,-0.0119,0.003,0.0796
13,1935,0.4674,0.0023,0.0447
14,1936,0.3194,0.0015,0.0502
15,1937,-0.3534,0.0012,0.0138
16,1938,0.2928,0.0011,0.0421
17,1939,-0.011,0.0003,0.0441
18,1940,-0.1067,0.0004,0.054
19,1941,-0.1277,0.0002,-0.0202
20,1942,0.1917,0.0033,0.0229
21,1943,0.2506,0.0038,0.0249
22,1944,0.1903,0.0038,0.0258
23,1945,0.3582,0.0038,0.038
24,1946,-0.0843,0.0038,0.0313
25,1947,0.052,0.0038,0.0092
26,1948,0.057,0.0095,0.0195
27,1949,0.183,0.0116,0.0466
28,1950,0.3081,0.011,0.0043
29,1951,0.2368,0.0134,-0.003
30,1952,0.1815,0.0173,0.0227
31,1953,-0.0121,0.0209,0.0414
32,1954,0.5256,0.016,0.0329
33,1955,0.326,0.0115,-0.0134
34,1956,0.0744,0.0254,-0.0226
35,1957,-0.1046,0.0321,0.068
36,1958,0.4372,0.0304,-0.021
37,1959,0.1206,0.0277,-0.0265
38,1960,0.0034,0.0449,0.1164
39,1961,0.2664,0.0225,0.0206
40,1962,-0.0881,0.026,0.0569
41,1963,0.2261,0.0287,0.0168
42,1964,0.1642,0.0352,0.0373
43,1965,0.124,0.0384,0.0072
44,1966,-0.0997,0.0438,0.0291
45,1967,0.238,0.0496,-0.0158
46,1968,0.1081,0.0497,0.0327
47,1969,-0.0824,0.0596,-0.0501
48,1970,0.0356,0.0782,0.1675
49,1971,0.1422,0.0487,0.0979
50,1972,0.1876,0.0401,0.0282
51,1973,-0.1431,0.0507,0.0366
52,1974,-0.259,0.0745,0.0199
53,1975,0.37,0.0715,0.0361
54,1976,0.2383,0.0544,0.1598
55,1977,-0.0698,0.0435,0.0129
56,1978,0.0651,0.0607,-0.0078
57,1979,0.1852,0.0908,0.0067
58,1980,0.3174,0.1204,-0.0299
59,1981,-0.047,0.1549,0.082
60,1982,0.2042,0.1085,0.3281
61,1983,0.2234,0.0794,0.032
62,1984,0.0615,0.09,0.1373
63,1985,0.3124,0.0806,0.2571
64,1986,0.1849,0.071,0.2428
65,1987,0.0581,0.0553,-0.0496
66,1988,0.1654,0.0577,0.0822
67,1989,0.3148,0.0807,0.1769
68,1990,-0.0306,0.0763,0.0624
69,1991,0.3023,0.0674,0.15
70,1992,0.0749,0.0407,0.0936
71,1993,0.0997,0.0322,0.1421
72,1994,0.0133,0.0306,-0.0804
73,1995,0.372,0.056,0.2348
74,1996,0.2382,0.0514,0.0143
75,1997,0.3186,0.0491,0.0994
76,1998,0.2834,0.0516,0.1492
77,1999,0.2089,0.0439,-0.0825
78,2000,-0.0903,0.0537,0.1666
79,2001,-0.1185,0.0573,0.0557
80,2002,-0.221,0.1784,0.0383
81,2003,0.2868,0.0145,0.0165
82,2004,0.1088,0.0851,0.0102
83,2005,0.0491,0.0781,0.012
84,2006,0.1579,0.0119,0.0298
85,2007,0.0549,0.0988,0.0466
86,2008,-0.37,0.2587,0.016
87,2009,0.2646,-0.149,0.001
88,,stocks,tbills,bonds
89,averages,,,
